627.622969 28.960521    332.356846 338.431535
625.264276 31.192178    317.814371 341.152695
626.211700 29.517107    336.697368 333.761278
623.497720 32.712104    371.650160 330.170927
619.672657 35.873584    335.309890 354.602198
616.320849 40.045916    337.060694 372.193642
614.161570 43.764344    324.798883 312.293296
611.298479 48.212593    365.216418 334.942786
608.900437 49.793620    372.642442 365.569767
606.605604 52.967823    380.391753 358.381443
601.689183 57.031610    361.997050 353.253687
596.218248 59.899677    362.545635 370.648810
590.444417 61.067817    568.268756 264.810894
585.234200 64.171627    631.018549 243.588254
579.844370 66.940843    630.138198 247.569647
574.207917 67.964110    627.207835 251.057935
568.055395 70.429947    622.849009 251.591324
562.648018 74.033832    620.204830 254.955826
556.604083 76.963071    613.998889 257.970892
550.448428 78.257542    605.756646 256.159266
546.598752 81.149372    599.338221 257.765148
542.150940 83.642362    592.965011 258.761212
536.570618 85.599014    586.572924 256.383529
531.368789 86.426735    579.260917 256.234781
526.137988 89.544676    572.388741 257.086274
521.571786 92.026524    566.227811 257.927568
516.440042 93.838308    558.951631 257.169058
510.686514 96.421656    552.144228 257.209557
505.639876 99.272435    545.764806 257.624699
501.282247 101.304696    539.848844 257.925891
496.419125 102.745325    533.147894 257.177402
490.184362 104.524080    525.763402 256.680251
485.120921 107.243629    519.011665 257.621074
480.089470 110.175618    513.890114 258.314458
475.020227 112.507754    506.955605 257.796635
469.170655 114.110779    499.507524 257.918612
464.107714 116.234583    493.650701 258.456219
459.518118 118.559935    487.971679 258.307878
454.380796 120.283557    482.005388 257.627846
448.908212 120.778932    475.466258 256.668758
442.797410 121.901633    468.812282 257.024327
436.531660 122.981650    462.783476 256.870015
430.145524 123.476376    457.845923 257.048269
424.403627 123.310499    451.033256 255.675050
418.123661 124.550760    444.586724 253.880518
411.372796 125.582079    439.010514 251.875049
404.007510 127.094483    433.315030 249.569235
396.063659 127.793179    427.177666 246.806353
389.675506 129.588423    419.835814 244.238204
382.899911 132.822994    412.079445 242.418823
377.300904 136.821059    406.379883 240.183420
371.737427 140.115285    401.542107 237.468174
367.739983 143.078617    394.532084 236.848665
364.792000 146.787796    386.423879 235.415495
360.867246 150.086660    378.896615 235.035364
357.214434 154.325252    372.655667 235.456603
353.908482 157.903634    367.211401 235.882655
351.554901 161.912108    363.306905 235.918754
348.118393 164.276051    357.169258 237.682620
345.503041 168.251924    351.369026 239.015940
341.617273 172.127564    346.669976 239.531415
337.693482 175.500095    341.993445 240.893721
333.274202 178.280868    336.246556 242.082089
327.757263 180.293059    330.091981 243.493494
322.162647 182.526975    324.645842 245.328225
317.946852 185.308932    319.731974 246.968417
313.621373 188.113270    315.283887 248.074547
309.073782 190.001900    310.291211 249.284373
304.358036 192.330011    304.322664 251.363200
298.449141 193.836348    298.708216 252.733724
296.366987 197.441063    293.835428 254.669656
289.801698 199.924284    288.855182 256.328016
284.577412 202.739803    283.909736 257.326773
279.365830 205.148375    278.261864 258.572399
273.720917 206.919811    273.138931 259.095016
268.340151 209.514492    267.961434 259.498727
263.871383 211.891894    262.943926 259.742713
259.167281 213.598376    258.516539 258.898739
254.925771 215.735454    253.662888 259.228171
250.448485 218.391827    248.534734 259.570062
244.462018 219.955886    242.868213 259.618053
238.820871 222.645319    237.991451 260.247528
234.452351 225.658051    233.357904 260.499715
230.378419 227.992192    228.328516 260.418383
225.578493 230.447541    223.204652 260.793585
219.930527 232.962029    217.999781 260.830346
214.134249 235.101382    213.175104 260.939411
209.428939 237.542392    208.360395 261.349592
205.271103 239.840581    204.034571 260.544696
199.906382 241.373255    199.806754 260.560016
196.082537 243.427748    195.349954 260.603499
190.775263 245.939794    190.096311 260.918060
185.459374 248.498360    185.385622 260.917773
180.019960 250.980040    180.594017 261.405001
175.524415 253.855128    176.417806 261.841114
170.838867 256.300570    171.830068 261.525260
166.518412 258.487519    167.000722 262.190572
162.028576 261.731673    162.071376 262.089443
155.624131 263.612242    157.300811 262.318009
150.821210 266.137664    153.028688 262.154788
146.128861 268.468738    148.683545 262.278409
141.666375 270.445811    144.699919 261.843774
137.453508 272.241012    140.594250 262.129086
132.625182 274.523590    136.059283 262.289899
127.848186 277.441300    131.402756 262.788936
122.590975 279.915342    127.009313 262.234533
117.180695 282.505200    122.461145 263.077608
113.001122 285.335931    118.123124 262.878762
108.246894 287.487763    114.195903 263.186670
102.326299 293.936338    106.509425 265.701768
92.368853 298.805749    97.664112 266.413661
82.731356 303.506361    89.407188 265.956636
73.579594 307.963516    81.673172 265.528819
63.507574 312.213275    72.885934 266.606406
54.828061 313.925717    66.709402 264.569147
50.713501 316.755102    64.448144 265.696924
47.415256 319.674711    59.046767 264.519512
41.366009 320.500044    54.555666 265.684118
36.035687 324.077183    50.423989 265.692754
31.437036 328.541783    45.501151 266.091853
27.833822 334.275007    40.711617 265.792753
23.338496 336.241432    36.070428 265.310583
20.588875 345.597251    28.446068 265.845861
16.542355 350.596478    22.809481 265.277382
13.682649 357.424846    18.867309 264.939461
8.797200 367.882534    14.131935 263.259359
40.668925 369.780252    10.041950 261.228897
